text,label
"Subject: 98 - 6736 & 98 - 9638 for 1997 ( ua 4 issues )
the above referenced meters need to be placed on a k . please note the
information below
98 - 6736 on 089 for 5 / 97 ( activity @ this meter for 1 / 97 - 4 / 97 is on
078 - 29165 - 101 ) the referenced cpr deal # is 1567 which ends 4 / 97 .
98 - 9638 on 089 for 6 / 97 ( activity @ this meter for 1 / 97 - 11 / 97 is also on
089 ) no referenced cpr deal # . the only month that has a k placed on it is
12 / 97 and that is on the 078 - 30100 - 103 k .
thanks for your help .
- jackie -
3 - 9497",0
nearly every attempt at humor here is doa .,0
"Subject: tenaska iv 11 / 00
i am having trouble with the transport deal for the tenaska iv contracts on
lone star . we have deal 452491 in sitara for meter 20014804 at a $ 0 . 01
transport rate . we received the statement from txu lone star and it does not
agree with our deal . they are billing for meter 25000200 at $ 0 . 10 and meter
20014903 at $ 0 . 02 . these meters relate to the tenaska iv sale deal 384258
and the tenaska marketing deal 459898 , respectively . should our deal match
what txu is billing or is there another deal that i am missing ? i haven ' t
worked with transport very much , so i could be confused . i think we have
this problem with oct 2000 , also , but i have not reviewed it yet . i am going
to look at it this afternoon . tenaska iv has already reimbursed us for the
txu transport , so we will need to pay this next week .
also , now that we have the actuals for nov 2000 , we need to update the demand
fees to reflect the correct volumes . barring any changes , i have listed the
adjustments below and attached my spreadsheet . the unify adjustments will be
over by about $ 20 . 00 from the spreadsheet . i thought it would be better have
the cleburne desk at zero , than to leave a balance .
1 . deal 529856 - change 11 / 1 demand fee from $ 341 , 250 . 47 to $ 493 , 365 . 74
( difference $ 152 , 115 . 27 )
2 . deal 529856 - change 11 / 2 demand fee from $ 167 , 062 . 50 to $ 159 , 721 . 55
( difference $ 7 , 340 . 95 )
3 . deal 514353 - change agency fee volume from 45 , 000 / day to 45 , 016 / day
( difference $ 19 . 72 )
thanks ,
megan",0
"Subject: valero
each meter is now to be treated seperately : tickets have been created
accordingly .
meter 1233
base 148376
swing 148382
buyback 148381
meter 1394
base 148390
swing 148391
buyback 148396
meter 8018
base 148376
swing 148382
buyback 148381
volume management will need to set up accounting arrangements to cover
november and december 1999 . scheduling will repath and renom unify , and
reallocate pops for january .
if anyone has anything to add to this please let me know .
ken",0
a startling and fresh examination of how the bike still remains an ambiguous icon in chinese society .,1
"windtalkers is shapelessly gratifying , the kind of movie that invites you to pick apart its faults even as you have to admit that somehow it hit you where you live .",1
"Subject: txu fuels / sds nomination for april 2001
attached is the april 2001 nomination for our takes under the gas sales and
purchase contract between txu fuel company ( previously tufco ) and sds . please
advise should you have any questions concerning the attached .
thanks ,
ccs
( see attached file : sdsnom . xls )
- sdsnom . xls",0
"overall , it's a very entertaining , thought-provoking film with a simple message : god is love .",1
"fast and funny , an action cartoon that's suspenseful enough for older kids but not too scary for the school-age crowd .",1
a dazzling dream of a documentary .,1
cletis is playful but highly studied and dependent for its success on a patient viewer .,1
it's exactly the kind of movie toback's detractors always accuse him of making .,0
[siegel] and co-writers lisa bazadona and grace woodard have relied too much on convention in creating the characters who surround frankie .,0
"Subject: re : meter 0980438 - acock production ? ? ? ? ? ?
mary ,
i have paid ccgm manually for both july and august production . sept
production is due on the 31 st .",0
"as dumb and cheesy as they may be , the cartoons look almost shakespearean -- both in depth and breadth -- after watching this digital-effects-heavy , supposed family-friendly comedy .",0
any film featuring young children threatened by a terrorist bomb can no longer pass as mere entertainment .,0
"a baffling subplot involving smuggling drugs inside danish cows falls flat , and if you're going to alter the bard's ending , you'd better have a good alternative .",0
"Subject: fw : executed agency - ena and tenaska gas company
i ' m having trouble understanding this . is she referring to the unsigned agency agreement between ena and tenaska iv texas partners , ltd . ( aka ponderosa pine energy partners ) , an agency agreement between ena and lone star ( i ' m not familiar w / the name txu gas distribution ) , or an agreement between any of the former and tenaska gas , either relating to the cleburne project or otherwise ? ? ? ?
- - - - - original message - - - - -
from : hilliard , marlene
sent : thursday , august 09 , 2001 1 : 50 pm
to : hill , garrick ; farmer , daren j .
subject : executed agency - ena and tenaska gas company
i am searching for an executed agency agreement between ena and tenaska gas company . ena is agent on the txu gas distribution pipeline .
this agency agreement relates to contract no . 1671 and contract no . 1856 on the txu gas distribution pipeline .
please let me know if either of you are in possession of this agency agreement .
thank you .
marlene d . hilliard
enron net works , llc
tel : ( 713 ) 853 - 9167
fax : ( 713 ) 646 - 2495",0
"Subject: first delivery - etoco
please see attached file . this well was turned on april 6 , 2001 but i am just now receiving information on it .
eb",0
"while some will object to the idea of a vietnam picture with such a rah-rah , patriotic tone , soldiers ultimately achieves its main strategic objective : dramatizing the human cost of the conflict that came to define a generation .",1
"hashiguchi vividly captures the way young japanese live now , chafing against their culture's manic mix of millennial brusqueness and undying , traditional politesse .",1
"a 'girls gone wild' video for the boho art-house crowd , the burning sensation isn't a definitive counter-cultural document -- its makers aren't removed and inquisitive enough for that .",0
"Subject: hpl meter # 981295 hungerford grain company
daren :
on 6 / 16 / 99 , hpl recorded flow of 10 mmbtus from hpl ' s pipeline . the gas
measurement dept . verified the accuracy of this flow . no deals were place
for the month prior or the month after . currently , this volume is being
recorded to hpl ' s strangers gas contract . logistics needs approval to
write - off this volumes to unaccounted for gas loss . ( please print , sign , and
return original to clem cernosek ) .
approval to write - off the volume to unaccounted for gas loss
thanks , clem",0
"Subject: re : personal information needs to be updated
janet ,
please submit this name change to the tpc as soon as possible . thanks , hgm
susan wimberley @ ect
11 / 07 / 2000 02 : 45 pm
to : hector mcloughlin / corp / enron @ enron
cc : dfarmer @ enron . com @ enron
subject : re : personal information needs to be updated
once this is fixed in sap i will be able to change it in pep . the data
integrity team is being really strict on the name field . it has to be
changed in sap before i am allowed to change it in pep . please let me know
when this has been done and i will make the change asap .
enron capital & trade resources corp .
from : hector mcloughlin @ enron 11 / 07 / 2000 02 : 24 pm
to : susan wimberley / hou / ect @ ect
cc : dfarmer @ enron . com
subject : re : personal information needs to be updated
is it possible that his first name show as "" j darren "" ? daren is his middle
name and the name that everyone addresses him by .
we would also be glad to submit the change in sap if the system will accept j
darren as the first name .
please advise .
thanks for your help , hgm
susan wimberley @ ect
11 / 07 / 2000 02 : 12 pm
to : hector mcloughlin / corp / enron @ enron
cc : dfarmer @ enron . com @ enron
subject : re : personal information needs to be updated
please note that the name in pep has to mirror what is in the source system .
currently there is not a field in pep for nicknames .
enron capital & trade resources corp .
from : hector mcloughlin @ enron 11 / 07 / 2000 01 : 48 pm
to : dfarmer @ enron . com , susan wimberley / hou / ect @ ect
cc :
subject : re : personal information needs to be updated
susan ,
would you please take care of mr . farmer ' s request ? i am not able to change
names .
thanks for your help , hgm
dfarmer @ enron . com on 11 / 07 / 2000 01 : 15 : 08 pm
to : hector . mcloughlin @ enron . com
cc :
subject : personal information needs to be updated
this message is from farmer , jerry d :
my name should be changed from farmer , jerry d to farmer , j daren",0
beyond a handful of mildly amusing lines . . . there just isn't much to laugh at .,0
"Subject: hplr liquids / humble gas pipeline
we need to get together this afternoon at 2 : 00 pm in room 3745 to discuss how
we will schedule and allocate the hplr liquids coming into humble gas
pipeline at meter 8793 . karry , it is my understanding that you do not want
an intercompany sale from hplr liquids to hplc at this point . how do you
plan to get this gas to king ranch since hplr liquids does not have a
transport on humble ?
daren , the intercompany hplc purchase is how it is set up currently in mops .
robert , since stella is out , we will need someone to represent logistics .
hc",0
"smith profiles five extraordinary american homes , and because the owners seem fully aware of the uses and abuses of fame , it's a pleasure to enjoy their eccentricities .",1
